"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1151158027703193602""",https://twitter.com/katyperry/status/1151158027703193602,"2019-07-16 15:53:55","""A new 🌊〰wave〰🌊 of the Beauty School collection is out at @kpcollections! Keep checking back for more new styles 👠 #ShoesdayTuesday https://t.co/HkyEUwctht""",Tweet,"Twitter for iPhone",540,5194,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1148691214876565504""",https://twitter.com/katyperry/status/1148691214876565504,"2019-07-09 20:31:41","""Shine bright like a diamond 💎 #ShoesdayTuesday @kpcollections  https://t.co/5NvsrSWMFi https://t.co/tmpd8CIXSd""",Tweet,"Twitter for iPhone",827,8422,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1146678513157566464""",https://twitter.com/katyperry/status/1146678513157566464,"2019-07-04 07:13:56","""bb ur a firewerk""",Tweet,"Twitter for iPhone",61340,262980,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1146226293861519360""",https://twitter.com/katyperry/status/1146226293861519360,"2019-07-03 01:16:58","""Love 💄 so much you’ve always wanted to wear it from head to toe? Now you can! 💋 First round of new @kpcollections LEWKS are here! #shoesdaytuesday https://t.co/2GtvryFCns""",Tweet,"Twitter for iPhone",781,7538,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1146192885299073024""",https://twitter.com/katyperry/status/1146192885299073024,"2019-07-02 23:04:13","""Mewd https://t.co/YL1xAdPzxj""",Tweet,"Twitter for iPhone",2996,33790,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1145081190518362112""",https://twitter.com/katyperry/status/1145081190518362112,"2019-06-29 21:26:45","""if you wanna weekend chuckle, watch this! Love all you’re doing for the environment @Schwarzenegger ❤️🤗🌎 https://t.co/1yZJba6JMF""",Tweet,"Twitter for iPhone",704,6758,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144841462267482113""",https://twitter.com/katyperry/status/1144841462267482113,"2019-06-29 05:34:09","""BIG shout out to @thehomeedit for helping me with my hoarding problems err I mean... my collecting problems 😬🤷🏼‍♀️ #thisismylovelanguage @ Neat Freak https://t.co/ed7t87Mzlk""",Tweet,Instagram,562,5689,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144692029890240512""",https://twitter.com/katyperry/status/1144692029890240512,"2019-06-28 19:40:21","""ICYMI, the #NeverReallyOver vertical video (different than the actual music video) is now available for your viewing pleasure at https://t.co/OjLbN6412s https://t.co/dHuio4zTTj""",Tweet,"Twitter for iPhone",2623,18766,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144445699431362560""",https://twitter.com/katyperry/status/1144445699431362560,"2019-06-28 03:21:32","""not gonna lie i sound like Marianne Williamson after a few glasses of red 💅🏻🍷""",Tweet,"Twitter for iPhone",2773,31897,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144432850403381249""",https://twitter.com/katyperry/status/1144432850403381249,"2019-06-28 02:30:28","""Some of these candidates are more moods than possible presidents lol #demdebates2""",Tweet,"Twitter for iPhone",651,6704,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144429240185544705""",https://twitter.com/katyperry/status/1144429240185544705,"2019-06-28 02:16:07","""emotional moment ❤️😢#DemDebate2020 https://t.co/E8oenUsEbw""",Tweet,"Twitter for iPhone",527,5617,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144416819974770688""",https://twitter.com/katyperry/status/1144416819974770688,"2019-06-28 01:26:46","""https://t.co/GitCw0vXgy https://t.co/Rqnm3ILiVe""",Tweet,"Twitter for iPhone",934,8675,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1144415188709281792""",https://twitter.com/katyperry/status/1144415188709281792,"2019-06-28 01:20:17","""three snaps in a z formation let’s go @KamalaHarris""",Tweet,"Twitter for iPhone",917,7177,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1143998286350565377""",https://twitter.com/katyperry/status/1143998286350565377,"2019-06-26 21:43:40","""this is dreams coming true in real time... if it can happen for me it can happen for you sweet @cynthialovely  😩❤️ https://t.co/Mueo0mJnQZ""",Tweet,"Twitter for iPhone",759,6737,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1143939415909306370""",https://twitter.com/katyperry/status/1143939415909306370,"2019-06-26 17:49:44","""Cheers to @patriciabragg 🥂 Patricia Bragg gave me my first guitar at the age of 13 in Santa Barbara, and now orlandobloom and I are so proud to be part of her next chapter. Just like the gift of music, the gift of… https://t.co/tBwPX9OI3X""",Tweet,Instagram,551,5009,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
"""1143661480182550528""",https://twitter.com/katyperry/status/1143661480182550528,"2019-06-25 23:25:19","""🔥 sale for all these 🔥 lewks, because you might just find some new faves starting tomorrow, loves! 👀👠 #ShoesdayTuesday @kpcollections https://t.co/dnyQAp3FlZ""",Tweet,"Twitter for iPhone",604,6027,"""21447363""","""KATY PERRY""",katyperry,Verified,https://twitter.com/katyperry,"Not Protected"
